date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:55	571288/571288	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-8b798%22	https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/html/home/home-v2.html	(from )
21:04:56	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226594b1b9-239b%22	https://transvelo.github.io/robots.txt		(from )
21:04:57	11715/11715	---M--	200	added ('OK')	image/png	etag:%225ee893c0-2dc3%22	https://transvelo.github.io/electro-html/2.0/favicon.png	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/favicon.png	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:04:58	55115/55115	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-d74b%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/font-awesome/css/fontawesome-all.min.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/font-awesome/css/fontawesome-all.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:04:58	3227/3227	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-c9b%22	https://transvelo.github.io/electro-html/2.0/assets/css/font-electro.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/css/font-electro.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:04:58	57997/57997	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-e28d%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/animate.css/animate.min.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/animate.css/animate.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:00	4058/4058	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-fda%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/hs-megamenu/src/hs.megamenu.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/hs-megamenu/src/hs.megamenu.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:01	54850/54850	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-d642%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:01	18303/18303	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-477f%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/fancybox/jquery.fancybox.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/fancybox/jquery.fancybox.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:01	1895/1895	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-767%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/slick-carousel/slick/slick.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/slick-carousel/slick/slick.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:02	9808/9808	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-2650%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:03	774986/774986	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-bd34a%22	https://transvelo.github.io/electro-html/2.0/assets/css/theme.css	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/assets/css/theme.css	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:03	864178/864178	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-d2fb2%22	https://transvelo.github.io/electro-html/2.0/html/home/index.html	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/html/home/index.html	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
21:05:03	667537/667537	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-a2f91%22	https://transvelo.github.io/electro-html/2.0/html/home/home-v3.html	D:/xamp/htdocs/kooltechware/transvelo.github.io/electro-html/2.0/html/home/home-v3.html	(from https://transvelo.github.io/electro-html/2.0/html/home/home-v2.html)
